i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
3;6;HormigueroSenuelo;Emboscada;4246;21;14;Player;9;2;6;0;1;1;0;22;17;P:RecV=10/10/0/0/1 P:RecV=11/12/0/0/0 P:SeñC=0/0/0/1/1 R:CazV=6/7/1/0/0 R:SeñV=4/6/0/0/0 R:RecC=4/4/0/0/6 
3;7;HormigueroSenuelo;Mixta;4246;19;16;Player;9;0;0;0;5;5;0;23;16;P:RecV=10/11/0/0/0 P:RecV=9/12/0/0/0 P:SeñC=0/0/0/5/0 R:GuaC=0/0/5/0/0 R:CazC=4/4/0/0/0 R:RecV=12/12/0/0/0 
3;8;HormigueroSenuelo;Codicia;4246;21;22;Rival;9;0;12;0;0;0;0;22;24;P:RecV=12/12/0/0/0 P:RecV=9/10/0/0/0 P:SeñC=0/0/0/0/0 R:RecC=8/8/0/0/4 R:RecC=8/8/0/0/3 R:RecC=6/8/0/0/5 
3;9;HormigueroSenuelo;Escolta;4246;15;15;None;10;6;1;0;6;6;0;17;18;P:RecV=6/7/0/2/3 P:RecV=9/10/0/1/1 P:SeñC=0/0/0/3/2 R:CazC=0/0/3/0/0 R:CazV=3/4/3/0/0 R:RecC=12/14/0/0/1 
3;10;HormigueroSenuelo;Senuelos;4246;19;17;Player;9;3;0;0;0;0;0;20;18;P:RecV=10/10/0/0/2 P:RecV=9/9/0/0/1 P:SeñC=0/1/0/0/0 R:SeñC=0/1/0/0/0 R:SeñV=4/4/0/0/0 R:RecV=13/13/0/0/0 
3;11;HormigueroSenuelo;DobleGuardia;4246;19;17;Player;9;1;2;0;4;4;0;21;20;P:RecV=11/11/0/0/0 P:RecV=8/10/0/1/0 P:SeñC=0/0/0/3/1 R:GuaC=0/0/3/0/0 R:GuaV=6/8/1/0/0 R:RecC=11/12/0/0/2 
3;12;HormigueroSenuelo;ContraJauria;4246;18;18;None;9;4;0;0;2;2;0;18;20;P:RecV=9/9/0/0/1 P:RecV=7/7/0/0/2 P:SeñC=2/2/0/2/1 R:GuaV=4/4/1/0/0 R:CazV=4/6/1/0/0 R:RecV=10/10/0/0/0 
3;13;HormigueroSenuelo;Fortin;4246;7;15;Rival;10;10;1;0;5;5;0;13;15;P:RecV=6/7/0/1/4 P:RecV=1/6/0/2/5 P:SeñC=0/0/0/2/1 R:GuaC=0/0/2/0/0 R:CazV=2/2/3/0/0 R:RecC=13/13/0/0/1 
3;14;HormigueroSenuelo;Engano;4246;19;14;Player;9;1;9;0;0;0;0;23;18;P:RecV=9/11/0/0/0 P:RecV=10/12/0/0/0 P:SeñC=0/0/0/0/1 R:SeñC=2/2/0/0/0 R:RecC=6/8/0/0/5 R:RecC=6/8/0/0/4 
3;15;HormigueroSenuelo;Rebano;4246;21;24;Rival;9;1;5;0;0;0;0;25;24;P:RecV=11/13/0/0/0 P:RecV=8/10/0/0/1 P:SeñC=2/2/0/0/0 R:RecC=5/5/0/0/5 R:RecV=12/12/0/0/0 R:SeñV=7/7/0/0/0 
4;0;Jauria;Muralla;4246;14;18;Rival;9;0;4;2;3;3;2;17;21;P:CazC=0/0/1/3/0 P:CazV=2/4/1/0/0 P:RecV=12/13/0/0/0 R:GuaC=0/0/3/0/0 R:RecC=10/10/0/0/2 R:RecC=8/11/0/2/2 
4;1;Jauria;MurallaVetas;4246;20;19;Player;10;0;2;1;4;4;1;22;22;P:CazC=6/6/0/0/0 P:CazV=2/4/1/3/0 P:RecV=12/12/0/1/0 R:GuaV=0/1/4/1/0 R:RecV=9/10/0/0/1 R:RecV=10/11/0/0/1 
4;2;Jauria;Hormiguero;4246;21;15;Player;9;0;8;2;0;0;2;21;20;P:CazC=4/4/1/0/0 P:CazV=5/5/1/0/0 P:RecV=12/12/0/0/0 R:RecV=5/6/0/1/3 R:RecV=6/7/0/0/2 R:RecV=4/7/0/1/3 
4;3;Jauria;HormigueroSenuelo;4246;19;19;None;9;0;2;4;0;0;4;23;20;P:CazC=3/3/3/0/0 P:CazV=6/8/1/0/0 P:RecV=10/12/0/0/0 R:RecV=10/10/0/0/1 R:RecV=9/9/0/0/0 R:SeñC=0/1/0/4/1 
4;4;Jauria;Jauria;4246;4;20;Rival;10;5;0;2;6;6;2;10;22;P:CazC=0/0/1/3/0 P:CazV=2/4/1/1/0 P:RecV=2/6/0/2/5 R:CazC=4/4/3/0/0 R:CazV=2/4/3/2/0 R:RecV=14/14/0/0/0 
4;5;Jauria;JauriaCentro;4246;16;18;Rival;9;0;3;1;2;2;1;18;19;P:CazC=0/0/1/2/0 P:CazV=4/4/0/0/0 P:RecV=12/14/0/0/0 R:CazC=3/3/2/0/0 R:CazC=4/5/0/1/0 R:RecC=11/11/0/0/3 
