i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
1;3;Fortin;Hormiguero;4246;25;22;Player;9;0;7;1;0;0;1;26;28;P:GuaC=6/6/1/0/0 P:CazV=4/5/0/0/0 P:RecC=15/15/0/0/0 R:RecV=7/7/0/0/2 R:RecV=8/11/0/0/3 R:RecV=7/10/0/1/2 
1;4;Fortin;HormigueroSenuelo;4246;14;8;Player;10;1;13;11;0;0;11;18;11;P:GuaC=2/2/4/0/0 P:CazV=0/1/7/0/0 P:RecC=12/15/0/0/1 R:RecV=6/6/0/2/6 R:RecV=2/5/0/3/6 R:SeñC=0/0/0/6/1 
1;5;Fortin;Senuelos;4246;13;4;Player;10;2;10;8;0;0;8;17;7;P:GuaC=2/2/4/0/0 P:CazV=0/2/4/0/0 P:RecC=11/13/0/0/2 R:SeñC=0/1/0/3/2 R:SeñV=2/2/0/2/1 R:RecV=2/4/0/3/7 
1;6;Fortin;Engano;4246;17;5;Player;10;0;13;13;0;0;13;18;12;P:GuaC=0/0/7/0/0 P:CazV=2/3/6/0/0 P:RecC=15/15/0/0/0 R:SeñC=0/0/0/8/0 R:RecC=3/6/0/3/6 R:RecC=2/6/0/2/7 
1;7;Fortin;Emboscada;4246;16;11;Player;9;2;4;5;1;1;5;19;17;P:GuaC=0/0/4/0/0 P:CazV=4/6/1/0/0 P:RecC=12/13/0/1/2 R:CazV=2/4/1/0/0 R:SeñV=0/2/0/4/0 R:RecC=9/11/0/1/4 
1;8;Fortin;Codicia;4246;15;7;Player;9;0;25;8;0;0;8;17;10;P:GuaC=0/0/5/0/0 P:CazV=0/2/3/0/0 P:RecC=15/15/0/0/0 R:RecC=3/3/0/3/8 R:RecC=4/4/0/1/9 R:RecC=0/3/0/4/8 
1;9;Fortin;Mixta;4246;7;13;Rival;10;4;2;8;10;10;8;11;16;P:GuaC=0/0/6/5/0 P:CazV=2/4/2/1/0 P:RecC=5/7/0/4/4 R:GuaC=0/0/8/4/0 R:CazC=2/4/2/2/0 R:RecV=11/12/0/2/2 
2;0;Jauria;Muralla;4246;19;24;Rival;9;0;2;2;5;5;2;21;29;P:CazC=1/3/1/4/0 P:CazV=4/4/1/1/0 P:RecV=14/14/0/0/0 R:GuaC=0/0/5/0/0 R:RecC=14/16/0/1/1 R:RecC=10/13/0/1/1 
2;1;Jauria;Fortin;4246;12;15;Rival;10;0;0;4;6;6;4;17;22;P:CazC=1/2/3/4/0 P:CazV=0/2/1/1/0 P:RecV=11/13/0/1/0 R:GuaC=0/1/4/1/0 R:CazV=6/7/2/0/0 R:RecC=9/14/0/3/0 
2;2;Jauria;Jauria;4246;6;9;Rival;10;5;7;6;3;3;6;10;12;P:CazC=2/4/1/2/0 P:CazV=0/0/5/0/0 P:RecV=4/6/0/1/5 R:CazC=2/4/1/2/0 R:CazV=2/3/2/0/0 R:RecV=5/5/0/4/7 
2;3;Jauria;Hormiguero;4246;27;22;Player;9;0;6;2;0;0;2;27;25;P:CazC=8/8/0/0/0 P:CazV=5/5/2/0/0 P:RecV=14/14/0/0/0 R:RecV=8/10/0/1/1 R:RecV=5/6/0/1/3 R:RecV=9/9/0/0/2 
2;4;Jauria;HormigueroSenuelo;4246;11;15;Rival;9;1;12;7;0;0;7;18;16;P:CazC=2/2/3/0/0 P:CazV=0/1/4/0/0 P:RecV=9/15/0/0/1 R:RecV=10/10/0/1/3 R:RecV=3/4/0/3/6 R:SeñC=2/2/0/3/3 
2;5;Jauria;Senuelos;4246;16;13;Player;10;0;9;7;0;0;7;18;16;P:CazC=2/2/2/0/0 P:CazV=0/2/5/0/0 P:RecV=14/14/0/0/0 R:SeñC=0/0/0/4/4 R:SeñV=2/4/0/3/2 R:RecV=11/12/0/0/3 
2;6;Jauria;Engano;4246;21;10;Player;10;0;14;8;0;0;8;22;18;P:CazC=3/4/6/0/0 P:CazV=3/3/2/0/0 P:RecV=15/15/0/0/0 R:SeñC=1/1/0/3/2 R:RecC=0/6/0/3/7 R:RecC=9/11/0/2/5 
2;7;Jauria;Emboscada;4246;3;1;Player;10;7;9;6;4;4;6;6;4;P:CazC=2/2/4/0/0 P:CazV=0/2/2/0/0 P:RecV=1/2/0/4/7 R:CazV=1/2/4/1/0 R:SeñV=0/0/0/1/1 R:RecC=0/2/0/4/8 
2;8;Jauria;Codicia;4246;16;6;Player;10;0;24;8;0;0;8;19;8;P:CazC=0/1/7/0/0 P:CazV=1/3/1/0/0 P:RecV=15/15/0/0/0 R:RecC=3/3/0/2/7 R:RecC=3/4/0/3/8 R:RecC=0/1/0/3/9 
2;9;Jauria;Mixta;4246;13;7;Player;10;0;8;6;5;5;6;16;9;P:CazC=0/1/1/4/0 P:CazV=0/1/5/1/0 P:RecV=13/14/0/0/0 R:GuaC=0/0/3/1/0 R:CazC=4/5/2/1/0 R:RecV=3/4/0/4/8 
3;0;Hormiguero;Muralla;4246;30;34;Rival;9;0;0;0;0;0;0;35;36;P:RecV=10/12/0/0/0 P:RecV=11/14/0/0/0 P:RecV=9/9/0/0/0 R:GuaC=4/4/0/0/0 R:RecC=15/17/0/0/0 R:RecC=15/15/0/0/0 
3;1;Hormiguero;Fortin;4246;20;25;Rival;9;10;0;0;2;2;0;25;27;P:RecV=2/7/0/1/4 P:RecV=13/13/0/0/1 P:RecV=5/5/0/1/5 R:GuaC=6/6/0/0/0 R:CazV=4/4/2/0/0 R:RecC=15/17/0/0/0 
3;2;Hormiguero;Jauria;4246;24;24;None;9;4;0;0;2;2;0;26;26;P:RecV=7/9/0/1/0 P:RecV=9/9/0/1/2 P:RecV=8/8/0/0/2 R:CazC=6/6/0/0/0 R:CazV=6/6/2/0/0 R:RecV=12/14/0/0/0 
3;3;Hormiguero;Hormiguero;4246;22;26;Rival;9;0;0;0;0;0;0;22;26;P:RecV=7/7/0/0/0 P:RecV=8/8/0/0/0 P:RecV=7/7/0/0/0 R:RecV=11/11/0/0/0 R:RecV=6/6/0/0/0 R:RecV=9/9/0/0/0 
3;4;Hormiguero;HormigueroSenuelo;4246;25;31;Rival;9;2;0;0;0;0;0;25;31;P:RecV=7/7/0/0/0 P:RecV=9/9/0/0/1 P:RecV=9/9/0/0/1 R:RecV=13/13/0/0/0 R:RecV=12/12/0/0/0 R:SeñC=6/6/0/0/0 
3;5;Hormiguero;Senuelos;4246;25;25;None;9;3;0;0;0;0;0;25;25;P:RecV=8/8/0/0/1 P:RecV=9/9/0/0/1 P:RecV=8/8/0/0/1 R:SeñC=8/8/0/0/0 R:SeñV=5/5/0/0/0 R:RecV=12/12/0/0/0 
3;6;Hormiguero;Engano;4246;30;36;Rival;9;1;0;0;0;0;0;32;36;P:RecV=9/11/0/0/0 P:RecV=12/12/0/0/0 P:RecV=9/9/0/0/1 R:SeñC=6/6/0/0/0 R:RecC=15/15/0/0/0 R:RecC=15/15/0/0/0 
3;7;Hormiguero;Emboscada;4246;25;28;Rival;9;3;0;0;2;2;0;31;28;P:RecV=6/9/0/1/2 P:RecV=9/12/0/1/0 P:RecV=10/10/0/0/1 R:CazV=5/5/2/0/0 R:SeñV=8/8/0/0/0 R:RecC=15/15/0/0/0 
3;8;Hormiguero;Codicia;4246;29;40;Rival;9;0;0;0;0;0;0;30;45;P:RecV=9/10/0/0/0 P:RecV=10/10/0/0/0 P:RecV=10/10/0/0/0 R:RecC=15/15/0/0/0 R:RecC=12/15/0/0/0 R:RecC=13/15/0/0/0 
3;9;Hormiguero;Mixta;4246;24;15;Player;9;5;0;0;2;2;0;25;20;P:RecV=9/9/0/1/0 P:RecV=9/9/0/0/3 P:RecV=6/7/0/1/2 R:GuaC=4/4/0/0/0 R:CazC=2/3/2/0/0 R:RecV=9/13/0/0/0 
4;0;HormigueroSenuelo;Muralla;4246;19;30;Rival;9;4;1;0;6;6;0;22;33;P:RecV=9/12/0/0/1 P:RecV=10/10/0/0/1 P:SeñC=0/0/0/6/2 R:GuaC=0/0/6/0/0 R:RecC=15/17/0/0/0 R:RecC=15/16/0/0/1 
4;1;HormigueroSenuelo;Fortin;4246;3;17;Rival;10;17;1;0;10;10;0;5;19;P:RecV=2/2/0/4/6 P:RecV=1/3/0/3/8 P:SeñC=0/0/0/3/3 R:GuaC=2/2/2/0/0 R:CazV=0/2/8/0/0 R:RecC=15/15/0/0/1 
4;2;HormigueroSenuelo;Jauria;4246;13;16;Rival;10;8;0;0;10;10;0;17;19;P:RecV=7/11/0/1/1 P:RecV=6/6/0/3/5 P:SeñC=0/0/0/6/2 R:CazC=0/0/5/0/0 R:CazV=4/5/5/0/0 R:RecV=12/14/0/0/0 
4;3;HormigueroSenuelo;Hormiguero;4246;26;25;Player;9;0;1;0;0;0;0;28;25;P:RecV=10/10/0/0/0 P:RecV=10/10/0/0/0 P:SeñC=6/8/0/0/0 R:RecV=11/11/0/0/0 R:RecV=8/8/0/0/0 R:RecV=6/6/0/0/1 
4;4;HormigueroSenuelo;HormigueroSenuelo;4246;23;24;Rival;9;1;1;0;0;0;0;24;24;P:RecV=9/9/0/0/0 P:RecV=12/12/0/0/0 P:SeñC=2/3/0/0/1 R:RecV=11/11/0/0/0 R:RecV=10/10/0/0/0 R:SeñC=3/3/0/0/1 
4;5;HormigueroSenuelo;Senuelos;4246;24;21;Player;9;3;1;0;0;0;0;24;22;P:RecV=10/10/0/0/2 P:RecV=12/12/0/0/0 P:SeñC=2/2/0/0/1 R:SeñC=4/4/0/0/1 R:SeñV=4/4/0/0/0 R:RecV=13/14/0/0/0 
4;6;HormigueroSenuelo;Engano;4246;24;23;Player;9;1;9;0;0;0;0;26;25;P:RecV=12/12/0/0/0 P:RecV=12/14/0/0/0 P:SeñC=0/0/0/0/1 R:SeñC=2/3/0/0/0 R:RecC=8/9/0/0/6 R:RecC=13/13/0/0/3 
4;7;HormigueroSenuelo;Emboscada;4246;18;25;Rival;9;5;2;0;3;3;0;24;28;P:RecV=10/10/0/0/2 P:RecV=6/12/0/1/2 P:SeñC=2/2/0/2/1 R:CazV=4/4/3/0/0 R:SeñV=10/10/0/0/0 R:RecC=11/14/0/0/2 
4;8;HormigueroSenuelo;Codicia;4246;22;16;Player;9;0;17;0;0;0;0;24;19;P:RecV=12/13/0/0/0 P:RecV=10/10/0/0/0 P:SeñC=0/1/0/0/0 R:RecC=6/6/0/0/6 R:RecC=9/9/0/0/4 R:RecC=1/4/0/0/7 
4;9;HormigueroSenuelo;Mixta;4246;19;16;Player;9;2;0;0;5;5;0;26;17;P:RecV=9/12/0/0/0 P:RecV=10/14/0/1/0 P:SeñC=0/0/0/4/2 R:GuaC=0/0/2/0/0 R:CazC=2/2/3/0/0 R:RecV=14/15/0/0/0 
5;0;Senuelos;Muralla;4246;17;21;Rival;9;1;6;0;7;7;0;17;27;P:SeñC=0/0/0/4/1 P:SeñV=2/2/0/3/0 P:RecV=15/15/0/0/0 R:GuaC=0/0/7/0/0 R:RecC=9/12/0/0/4 R:RecC=12/15/0/0/2 
5;1;Senuelos;Fortin;4246;3;17;Rival;10;12;1;0;8;8;0;5;17;P:SeñC=0/0/0/1/5 P:SeñV=0/2/0/3/0 P:RecV=3/3/0/4/7 R:GuaC=2/2/3/0/0 R:CazV=0/0/5/0/0 R:RecC=15/15/0/0/1 
5;2;Senuelos;Jauria;4246;6;13;Rival;10;11;0;0;8;8;0;8;17;P:SeñC=0/0/0/2/4 P:SeñV=2/2/0/2/2 P:RecV=4/6/0/4/5 R:CazC=0/0/3/0/0 R:CazV=0/2/5/0/0 R:RecV=13/15/0/0/0 
5;3;Senuelos;Hormiguero;4246;24;22;Player;9;0;6;0;0;0;0;26;24;P:SeñC=8/8/0/0/0 P:SeñV=4/4/0/0/0 P:RecV=12/14/0/0/0 R:RecV=10/10/0/0/1 R:RecV=7/8/0/0/1 R:RecV=5/6/0/0/4 
5;4;Senuelos;HormigueroSenuelo;4246;16;23;Rival;9;3;2;0;0;0;0;16;24;P:SeñC=2/2/0/0/0 P:SeñV=3/3/0/0/1 P:RecV=11/11/0/0/2 R:RecV=12/12/0/0/1 R:RecV=11/11/0/0/1 R:SeñC=0/1/0/0/0 
5;5;Senuelos;Senuelos;4246;6;12;Rival;9;11;2;0;0;0;0;7;12;P:SeñC=0/0/0/0/3 P:SeñV=2/2/0/0/1 P:RecV=4/5/0/0/7 R:SeñC=0/0/0/0/1 R:SeñV=0/0/0/0/0 R:RecV=12/12/0/0/1 
5;6;Senuelos;Engano;4246;15;15;None;9;4;11;0;0;0;0;17;17;P:SeñC=0/0/0/0/2 P:SeñV=2/3/0/0/1 P:RecV=13/14/0/0/1 R:SeñC=0/2/0/0/0 R:RecC=9/9/0/0/5 R:RecC=6/6/0/0/6 
5;7;Senuelos;Emboscada;4246;5;12;Rival;9;7;3;0;2;2;0;11;18;P:SeñC=0/1/0/0/1 P:SeñV=2/2/0/1/1 P:RecV=3/8/0/1/5 R:CazV=0/2/2/0/0 R:SeñV=0/2/0/0/0 R:RecC=12/14/0/0/3 
5;8;Senuelos;Codicia;4246;20;32;Rival;9;0;9;0;0;0;0;22;35;P:SeñC=2/2/0/0/0 P:SeñV=4/6/0/0/0 P:RecV=14/14/0/0/0 R:RecC=11/11/0/0/3 R:RecC=11/14/0/0/2 R:RecC=10/10/0/0/4 
5;9;Senuelos;Mixta;4246;13;17;Rival;10;7;0;0;7;7;0;15;18;P:SeñC=1/1/0/4/3 P:SeñV=4/4/0/1/1 P:RecV=8/10/0/2/3 R:GuaC=2/2/4/0/0 R:CazC=0/0/3/0/0 R:RecV=15/16/0/0/0 
6;0;Engano;Muralla;4246;10;27;Rival;9;11;0;0;3;3;0;17;30;P:SeñC=0/1/0/2/2 P:RecC=6/7/0/0/5 P:RecC=4/9/0/1/4 R:GuaC=0/0/3/0/0 R:RecC=15/16/0/0/0 R:RecC=12/14/0/0/0 
6;1;Engano;Fortin;4246;9;19;Rival;10;13;0;0;9;9;0;13;21;P:SeñC=0/0/0/5/0 P:RecC=3/7/0/3/7 P:RecC=6/6/0/1/6 R:GuaC=0/0/6/0/0 R:CazV=4/4/3/0/0 R:RecC=15/17/0/0/0 
6;2;Engano;Jauria;4246;5;15;Rival;9;19;0;0;7;7;0;9;17;P:SeñC=0/0/0/3/4 P:RecC=3/5/0/0/9 P:RecC=2/4/0/4/6 R:CazC=0/0/3/0/0 R:CazV=0/2/4/0/0 R:RecV=15/15/0/0/0 
6;3;Engano;Hormiguero;4246;36;24;Player;9;0;4;0;0;0;0;36;29;P:SeñC=6/6/0/0/0 P:RecC=15/15/0/0/0 P:RecC=15/15/0/0/0 R:RecV=10/12/0/0/1 R:RecV=9/9/0/0/1 R:RecV=5/8/0/0/2 
6;4;Engano;HormigueroSenuelo;4246;19;20;Rival;9;12;1;0;0;0;0;20;25;P:SeñC=2/2/0/0/1 P:RecC=5/6/0/0/7 P:RecC=12/12/0/0/4 R:RecV=9/12/0/0/1 R:RecV=11/12/0/0/0 R:SeñC=0/1/0/0/0 
6;5;Engano;Senuelos;4246;12;16;Rival;9;17;2;0;0;0;0;14;18;P:SeñC=0/0/0/0/3 P:RecC=8/8/0/0/6 P:RecC=4/6/0/0/8 R:SeñC=0/1/0/0/0 R:SeñV=2/2/0/0/2 R:RecV=14/15/0/0/0 
6;6;Engano;Engano;4246;28;28;None;9;2;3;0;0;0;0;29;28;P:SeñC=2/2/0/0/0 P:RecC=14/14/0/0/1 P:RecC=12/13/0/0/1 R:SeñC=2/2/0/0/1 R:RecC=12/12/0/0/1 R:RecC=14/14/0/0/1 
6;7;Engano;Emboscada;4246;18;13;Player;9;8;3;0;2;2;0;22;18;P:SeñC=0/1/0/1/1 P:RecC=12/12/0/0/4 P:RecC=6/9/0/1/3 R:CazV=2/4/2/0/0 R:SeñV=2/2/0/0/0 R:RecC=9/12/0/0/3 
6;8;Engano;Codicia;4246;28;35;Rival;9;0;3;0;0;0;0;33;39;P:SeñC=2/4/0/0/0 P:RecC=14/17/0/0/0 P:RecC=12/12/0/0/0 R:RecC=14/14/0/0/2 R:RecC=12/14/0/0/0 R:RecC=9/11/0/0/1 
6;9;Engano;Mixta;4246;1;13;Rival;10;18;0;0;13;13;0;1;16;P:SeñC=0/0/0/5/2 P:RecC=1/1/0/3/9 P:RecC=0/0/0/5/7 R:GuaC=0/0/6/0/0 R:CazC=0/0/7/0/0 R:RecV=13/16/0/0/0 
7;0;Emboscada;Muralla;4246;12;21;Rival;9;4;8;1;2;2;1;16;24;P:CazV=0/2/1/0/0 P:SeñV=0/2/0/1/3 P:RecC=12/12/0/1/1 R:GuaC=0/0/2/0/0 R:RecC=9/9/0/0/6 R:RecC=12/15/0/1/2 
7;1;Emboscada;Fortin;4246;9;14;Rival;10;7;1;1;7;7;1;11;17;P:CazV=4/4/1/0/0 P:SeñV=0/2/0/3/1 P:RecC=5/5/0/4/6 R:GuaC=0/0/6/0/0 R:CazV=2/2/1/0/0 R:RecC=12/15/0/1/1 
7;2;Emboscada;Jauria;4246;0;6;Rival;10;8;8;5;6;6;5;3;10;P:CazV=0/0/5/0/0 P:SeñV=0/0/0/2/2 P:RecC=0/3/0/4/6 R:CazC=0/2/5/0/0 R:CazV=2/4/1/1/0 R:RecV=4/4/0/4/8 
7;3;Emboscada;Hormiguero;4246;19;21;Rival;9;0;8;1;0;0;1;21;24;P:CazV=0/2/1/0/0 P:SeñV=4/4/0/0/0 P:RecC=15/15/0/0/0 R:RecV=9/12/0/0/2 R:RecV=7/7/0/0/3 R:RecV=5/5/0/1/3 
