i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
6;8;Engano;Codicia;4242;27;26;Player;9;0;10;0;0;0;0;29;30;P:SeñC=0/0/0/0/0 P:RecC=15/15/0/0/0 P:RecC=12/14/0/0/0 R:RecC=6/7/0/0/5 R:RecC=9/11/0/0/3 R:RecC=11/12/0/0/2 
6;9;Engano;Mixta;4242;0;13;Rival;10;20;0;0;14;14;0;1;17;P:SeñC=0/0/0/5/2 P:RecC=0/1/0/4/9 P:RecC=0/0/0/5/9 R:GuaC=0/0/7/0/0 R:CazC=0/1/7/0/0 R:RecV=13/16/0/0/0 
7;0;Emboscada;Muralla;4242;14;21;Rival;9;2;4;1;3;3;1;18;26;P:CazV=2/4/1/0/0 P:SeñV=0/0/0/3/1 P:RecC=12/14/0/0/1 R:GuaC=0/0/3/0/0 R:RecC=12/12/0/0/3 R:RecC=9/14/0/1/1 
7;1;Emboscada;Fortin;4242;5;7;Rival;10;9;2;4;5;5;4;13;18;P:CazV=2/5/4/1/0 P:SeñV=0/2/0/1/2 P:RecC=3/6/0/3/7 R:GuaC=0/0/4/1/0 R:CazV=1/5/1/1/0 R:RecC=6/13/0/2/2 
7;2;Emboscada;Jauria;4242;8;13;Rival;9;10;1;1;4;4;1;11;17;P:CazV=5/6/1/1/0 P:SeñV=0/0/0/1/2 P:RecC=3/5/0/2/8 R:CazC=0/2/2/0/0 R:CazV=2/2/2/0/0 R:RecV=11/13/0/1/1 
7;3;Emboscada;Hormiguero;4242;20;14;Player;9;0;13;3;0;0;3;20;17;P:CazV=5/5/3/0/0 P:SeñV=0/0/0/0/0 P:RecC=15/15/0/0/0 R:RecV=8/8/0/1/3 R:RecV=3/4/0/1/6 R:RecV=3/5/0/1/4 
7;4;Emboscada;HormigueroSenuelo;4242;13;8;Player;9;5;15;5;0;0;5;20;11;P:CazV=0/2/5/0/0 P:SeñV=7/9/0/0/0 P:RecC=6/9/0/0/5 R:RecV=6/8/0/1/7 R:RecV=2/2/0/3/7 R:SeñC=0/1/0/1/1 
7;5;Emboscada;Senuelos;4242;14;0;Player;9;4;7;3;0;0;3;14;6;P:CazV=2/2/3/0/0 P:SeñV=0/0/0/0/1 P:RecC=12/12/0/0/3 R:SeñC=0/1/0/0/0 R:SeñV=0/3/0/1/0 R:RecV=0/2/0/2/7 
7;6;Emboscada;Engano;4242;12;13;Rival;9;2;14;5;0;0;5;17;19;P:CazV=0/2/5/0/0 P:SeñV=2/2/0/0/0 P:RecC=10/13/0/0/2 R:SeñC=0/0/0/2/4 R:RecC=7/10/0/1/5 R:RecC=6/9/0/2/5 
7;7;Emboscada;Emboscada;4242;15;11;Player;9;1;4;4;2;2;4;20;18;P:CazV=2/4/4/1/0 P:SeñV=2/3/0/0/0 P:RecC=11/13/0/1/1 R:CazV=2/4/2/1/0 R:SeñV=2/4/0/1/1 R:RecC=7/10/0/2/3 
7;8;Emboscada;Codicia;4242;17;21;Rival;9;0;17;2;0;0;2;19;25;P:CazV=0/2/2/0/0 P:SeñV=2/2/0/0/0 P:RecC=15/15/0/0/0 R:RecC=7/7/0/0/7 R:RecC=7/10/0/1/5 R:RecC=7/8/0/1/5 
7;9;Emboscada;Mixta;4242;9;13;Rival;10;7;1;1;8;8;1;14;18;P:CazV=7/10/1/1/0 P:SeñV=2/4/0/2/0 P:RecC=0/0/0/5/7 R:GuaC=0/1/6/0/0 R:CazC=2/4/2/0/0 R:RecV=11/13/0/1/1 
8;0;Codicia;Muralla;4242;4;30;Rival;9;23;0;0;7;7;0;9;30;P:RecC=1/5/0/2/7 P:RecC=3/3/0/2/7 P:RecC=0/1/0/3/9 R:GuaC=0/0/7/0/0 R:RecC=15/15/0/0/0 R:RecC=15/15/0/0/0 
8;1;Codicia;Fortin;4242;6;17;Rival;10;24;0;0;9;9;0;14;19;P:RecC=2/5/0/3/8 P:RecC=2/2/0/2/10 P:RecC=2/7/0/4/6 R:GuaC=0/0/3/0/0 R:CazV=2/4/6/0/0 R:RecC=15/15/0/0/0 
