i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
2;3;TresTimidos;TresOsados;4242;9;6;Player;10;17;0;0;6;6;0;13;7;P:RecC=1/2/0/1/8 P:RecV=7/7/0/2/5 P:RecV=1/4/0/3/4 R:CazC=0/0/2/0/0 R:CazV=2/3/2/0/0 R:CazV=4/4/2/0/0 
2;4;TresTimidos;OsadosSociables;4242;19;14;Player;10;5;0;0;4;4;0;23;18;P:RecC=2/4/0/4/4 P:RecV=10/12/0/0/0 P:RecV=7/7/0/0/1 R:GuaC=0/0/4/0/0 R:GuaV=5/6/0/0/0 R:RecC=9/12/0/0/0 
2;5;TresTimidos;TimidosSolitarios;4242;24;20;Player;9;3;0;0;0;0;0;26;22;P:RecC=7/9/0/0/3 P:RecV=10/10/0/0/0 P:RecV=7/7/0/0/0 R:SeñC=2/3/0/0/0 R:SeñV=6/7/0/0/0 R:RecC=12/12/0/0/0 
3;0;TresOsados;RosterA;4242;9;15;Rival;10;0;0;2;5;5;2;10;19;P:CazC=1/1/2/3/0 P:CazV=4/5/0/1/0 P:CazV=4/4/0/1/0 R:CazC=2/3/2/1/0 R:RecV=11/14/0/0/0 R:GuaV=2/2/3/1/0 
3;1;TresOsados;RosterB;4242;7;9;Rival;10;0;4;5;5;5;5;9;17;P:CazC=0/0/3/3/0 P:CazV=2/4/2/2/0 P:CazV=5/5/0/0/0 R:CazV=2/2/2/1/0 R:RecC=5/9/0/2/4 R:CazC=2/6/3/2/0 
3;2;TresOsados;TresTimidos;4242;6;7;Rival;10;0;20;7;0;0;7;7;11;P:CazC=2/2/3/0/0 P:CazV=4/4/2/0/0 P:CazV=0/1/2/0/0 R:RecC=1/2/0/3/8 R:RecV=3/5/0/1/6 R:RecV=3/4/0/3/6 
3;3;TresOsados;TresOsados;4242;5;7;Rival;9;0;0;3;2;2;3;7;9;P:CazC=0/0/1/2/0 P:CazV=5/5/1/0/0 P:CazV=0/2/1/0/0 R:CazC=2/2/2/1/0 R:CazV=2/2/0/1/0 R:CazV=3/5/0/1/0 
3;4;TresOsados;OsadosSociables;4242;3;6;Rival;10;0;3;6;9;9;6;4;9;P:CazC=1/2/0/4/0 P:CazV=0/0/4/4/0 P:CazV=2/2/2/1/0 R:GuaC=0/0/5/0/0 R:GuaV=0/0/4/4/0 R:RecC=6/9/0/2/3 
3;5;TresOsados;TimidosSolitarios;4242;2;2;None;10;0;12;10;0;0;10;5;7;P:CazC=0/1/5/0/0 P:CazV=0/2/3/0/0 P:CazV=2/2/2/0/0 R:SeñC=0/0/0/2/4 R:SeñV=2/4/0/2/1 R:RecC=0/3/0/6/7 
4;0;OsadosSociables;RosterA;4242;12;17;Rival;9;2;0;5;2;2;5;17;17;P:GuaC=0/1/5/1/0 P:GuaV=5/5/0/0/0 P:RecC=7/11/0/1/2 R:CazC=1/1/1/4/0 R:RecV=12/12/0/0/0 R:GuaV=4/4/1/1/0 
