i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
1;7;Fortin;Emboscada;4246;15;4;Player;9;2;9;5;0;0;5;18;9;P:GuaC=0/1/4/0/0 P:CazV=0/2/1/0/0 P:RecC=15/15/0/0/2 R:CazV=0/2/0/0/0 R:SeñV=2/2/0/2/2 R:RecC=2/5/0/3/7 
1;8;Fortin;Codicia;4246;15;7;Player;9;0;26;2;0;0;2;17;8;P:GuaC=0/0/2/0/0 P:CazV=0/2/0/0/0 P:RecC=15/15/0/0/0 R:RecC=4/4/0/0/8 R:RecC=2/2/0/0/10 R:RecC=1/2/0/2/8 
1;9;Fortin;Mixta;4246;5;7;Rival;10;6;2;8;10;10;8;9;10;P:GuaC=0/0/5/6/0 P:CazV=3/5/3/0/0 P:RecC=2/4/0/4/6 R:GuaC=0/0/8/3/0 R:CazC=1/1/2/2/0 R:RecV=6/9/0/3/2 
2;0;Jauria;Muralla;4246;13;21;Rival;10;0;3;3;6;6;3;17;25;P:CazC=0/0/1/4/0 P:CazV=0/2/2/2/0 P:RecV=13/15/0/0/0 R:GuaC=0/0/6/0/0 R:RecC=12/13/0/0/3 R:RecC=9/12/0/3/0 
2;1;Jauria;Fortin;4246;0;9;Rival;10;8;4;1;11;11;1;3;11;P:CazC=0/0/1/4/0 P:CazV=0/2/0/3/0 P:RecV=0/1/0/4/8 R:GuaC=0/0/7/0/0 R:CazV=0/0/4/0/0 R:RecC=9/11/0/1/4 
2;2;Jauria;Jauria;4246;0;0;None;10;7;7;4;5;5;4;3;4;P:CazC=0/0/0/0/0 P:CazV=0/2/4/0/0 P:RecV=0/1/0/5/7 R:CazC=0/0/0/0/0 R:CazV=0/0/5/0/0 R:RecV=0/4/0/4/7 
2;3;Jauria;Hormiguero;4246;18;15;Player;9;0;14;5;0;0;5;21;24;P:CazC=6/6/1/0/0 P:CazV=0/0/4/0/0 P:RecV=12/15/0/0/0 R:RecV=0/8/0/4/5 R:RecV=7/7/0/1/5 R:RecV=8/9/0/0/4 
2;4;Jauria;HormigueroSenuelo;4246;15;15;None;9;0;4;7;0;0;7;17;21;P:CazC=0/1/6/0/0 P:CazV=2/2/1/0/0 P:RecV=13/14/0/0/0 R:RecV=7/10/0/2/2 R:RecV=8/11/0/1/2 R:SeñC=0/0/0/4/0 
2;5;Jauria;Senuelos;4246;17;5;Player;10;0;5;9;0;0;9;17;11;P:CazC=2/2/2/0/0 P:CazV=0/0/7/0/0 P:RecV=15/15/0/0/0 R:SeñC=0/0/0/4/0 R:SeñV=0/2/0/3/0 R:RecV=5/9/0/2/5 
2;6;Jauria;Engano;4246;17;1;Player;10;0;18;10;0;0;10;19;4;P:CazC=2/2/6/0/0 P:CazV=0/2/4/0/0 P:RecV=15/15/0/0/0 R:SeñC=0/0/0/5/1 R:RecC=1/1/0/2/9 R:RecC=0/3/0/3/8 
2;7;Jauria;Emboscada;4246;0;2;Rival;10;9;9;5;4;4;5;6;7;P:CazC=0/2/3/0/0 P:CazV=0/2/2/0/0 P:RecV=0/2/0/4/9 R:CazV=0/1/4/0/0 R:SeñV=0/1/0/3/0 R:RecC=2/5/0/2/9 
2;8;Jauria;Codicia;4246;15;2;Player;9;0;28;6;0;0;6;17;9;P:CazC=0/0/4/0/0 P:CazV=0/2/2/0/0 P:RecV=15/15/0/0/0 R:RecC=1/3/0/0/11 R:RecC=1/3/0/2/9 R:RecC=0/3/0/4/8 
2;9;Jauria;Mixta;4246;13;0;Player;10;0;9;6;4;4;6;16;4;P:CazC=0/0/2/4/0 P:CazV=0/2/4/0/0 P:RecV=13/14/0/0/0 R:GuaC=0/1/3/2/0 R:CazC=0/1/1/0/0 R:RecV=0/2/0/4/9 
3;0;Hormiguero;Muralla;4246;30;34;Rival;9;1;0;0;0;0;0;31;35;P:RecV=9/9/0/0/0 P:RecV=10/11/0/0/0 P:RecV=11/11/0/0/1 R:GuaC=4/5/0/0/0 R:RecC=15/15/0/0/0 R:RecC=15/15/0/0/0 
3;1;Hormiguero;Fortin;4246;2;21;Rival;10;26;0;0;8;8;0;4;23;P:RecV=2/2/0/3/8 P:RecV=0/1/0/3/8 P:RecV=0/1/0/2/10 R:GuaC=6/8/0/0/0 R:CazV=0/0/8/0/0 R:RecC=15/15/0/0/0 
3;2;Hormiguero;Jauria;4246;18;26;Rival;9;10;0;0;5;5;0;22;27;P:RecV=4/7/0/1/2 P:RecV=6/7/0/2/4 P:RecV=8/8/0/2/4 R:CazC=6/7/0/0/0 R:CazV=5/5/5/0/0 R:RecV=15/15/0/0/0 
3;3;Hormiguero;Hormiguero;4246;27;24;Player;9;0;0;0;0;0;0;27;24;P:RecV=10/10/0/0/0 P:RecV=10/10/0/0/0 P:RecV=7/7/0/0/0 R:RecV=6/6/0/0/0 R:RecV=11/11/0/0/0 R:RecV=7/7/0/0/0 
3;4;Hormiguero;HormigueroSenuelo;4246;25;28;Rival;9;1;0;0;0;0;0;25;28;P:RecV=8/8/0/0/1 P:RecV=10/10/0/0/0 P:RecV=7/7/0/0/0 R:RecV=10/10/0/0/0 R:RecV=10/10/0/0/0 R:SeñC=8/8/0/0/0 
3;5;Hormiguero;Senuelos;4246;24;26;Rival;9;7;0;0;0;0;0;26;26;P:RecV=8/8/0/0/2 P:RecV=8/10/0/0/2 P:RecV=8/8/0/0/3 R:SeñC=8/8/0/0/0 R:SeñV=5/5/0/0/0 R:RecV=13/13/0/0/0 
3;6;Hormiguero;Engano;4246;27;36;Rival;9;2;0;0;0;0;0;32;36;P:RecV=10/10/0/0/1 P:RecV=9/11/0/0/0 P:RecV=8/11/0/0/1 R:SeñC=6/6/0/0/0 R:RecC=15/15/0/0/0 R:RecC=15/15/0/0/0 
