i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
3;5;Hormiguero;Senuelos;4246;22;25;Rival;9;7;0;0;0;0;0;24;28;P:RecV=6/6/0/0/3 P:RecV=8/10/0/0/1 P:RecV=8/8/0/0/3 R:SeñC=8/10/0/0/0 R:SeñV=4/4/0/0/0 R:RecV=13/14/0/0/0 
3;6;Hormiguero;Engano;4246;30;38;Rival;9;1;0;0;0;0;0;31;38;P:RecV=11/11/0/0/0 P:RecV=10/10/0/0/1 P:RecV=9/10/0/0/0 R:SeñC=8/8/0/0/0 R:RecC=15/15/0/0/0 R:RecC=15/15/0/0/0 
3;7;Hormiguero;Emboscada;4246;19;19;None;9;14;0;0;6;6;0;21;19;P:RecV=4/5/0/3/7 P:RecV=7/8/0/1/4 P:RecV=8/8/0/2/3 R:CazV=0/0/6/0/0 R:SeñV=4/4/0/0/0 R:RecC=15/15/0/0/0 
3;8;Hormiguero;Codicia;4246;29;39;Rival;9;0;0;0;0;0;0;30;40;P:RecV=9/10/0/0/0 P:RecV=10/10/0/0/0 P:RecV=10/10/0/0/0 R:RecC=15/15/0/0/0 R:RecC=12/12/0/0/0 R:RecC=12/13/0/0/0 
3;9;Hormiguero;Mixta;4246;23;20;Player;9;4;0;0;1;1;0;27;21;P:RecV=6/9/0/0/1 P:RecV=9/9/0/1/2 P:RecV=8/9/0/0/1 R:GuaC=2/3/1/0/0 R:CazC=4/4/0/0/0 R:RecV=14/14/0/0/0 
4;0;HormigueroSenuelo;Muralla;4246;21;24;Rival;9;2;4;0;3;3;0;24;27;P:RecV=11/12/0/0/0 P:RecV=10/12/0/0/1 P:SeñC=0/0/0/3/1 R:GuaC=2/2/3/0/0 R:RecC=9/12/0/0/3 R:RecC=13/13/0/0/1 
4;1;HormigueroSenuelo;Fortin;4246;13;14;Rival;10;8;2;0;7;7;0;18;15;P:RecV=9/9/0/1/3 P:RecV=4/9/0/3/4 P:SeñC=0/0/0/3/1 R:GuaC=0/0/4/0/0 R:CazV=2/3/3/0/0 R:RecC=12/12/0/0/2 
4;2;HormigueroSenuelo;Jauria;4246;9;17;Rival;9;12;1;0;5;5;0;15;18;P:RecV=6/6/0/2/5 P:RecV=3/9/0/2/3 P:SeñC=0/0/0/1/4 R:CazC=0/0/1/0/0 R:CazV=2/3/4/0/0 R:RecV=15/15/0/0/1 
4;3;HormigueroSenuelo;Hormiguero;4246;27;21;Player;9;0;0;0;0;0;0;32;23;P:RecV=11/11/0/0/0 P:RecV=10/13/0/0/0 P:SeñC=6/8/0/0/0 R:RecV=7/9/0/0/0 R:RecV=8/8/0/0/0 R:RecV=6/6/0/0/0 
4;4;HormigueroSenuelo;HormigueroSenuelo;4246;20;24;Rival;9;1;3;0;0;0;0;21;24;P:RecV=10/10/0/0/0 P:RecV=10/11/0/0/0 P:SeñC=0/0/0/0/1 R:RecV=12/12/0/0/0 R:RecV=10/10/0/0/1 R:SeñC=2/2/0/0/2 
